Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Right.ElbowFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.ElbowPronation.Pos,Main.HumanModel.BodyModel.Interface.Right.WristFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.WristAbduction.Pos
  2.150000000000000e+00, -2.038572157725843e-01, -1.876129599896007e+00,  3.738634786991198e-01,  2.538821181202794e-01,  7.237318398383279e-01,  2.034437162009047e-01, -3.243932407776602e-01,  3.305245743507012e-01, -1.327900971836240e-01,  1.109444682205905e+00,  8.465942686643542e-01, -1.022322222241610e-01,  3.978062560225158e-02
  2.160000000000000e+00, -2.020215473618970e-01, -1.876800876768874e+00,  3.706748930321760e-01,  2.523904576277132e-01,  7.238683162730492e-01,  2.034627395061011e-01, -3.242123271560501e-01,  3.276500808216044e-01, -1.342777617854977e-01,  1.107503414874274e+00,  8.484192641951958e-01, -1.010217746733226e-01,  4.013160167272888e-02
  2.170000000000000e+00, -1.994339019265501e-01, -1.877902407931332e+00,  3.661973183301031e-01,  2.503276739255853e-01,  7.240566357900814e-01,  2.034893713290472e-01, -3.238949605269019e-01,  3.249345628196556e-01, -1.357967292388100e-01,  1.103582267526959e+00,  8.504566202641358e-01, -1.007028668213203e-01,  4.045844059591786e-02
  2.180000000000000e+00, -1.962044792429742e-01, -1.879381325340344e+00,  3.606494074371928e-01,  2.478052749044194e-01,  7.242933633863984e-01,  2.035184526873824e-01, -3.236167579542327e-01,  3.224446002821703e-01, -1.374717398722917e-01,  1.097617501894502e+00,  8.527131796835353e-01, -1.013245056576060e-01,  4.075627458126000e-02
  2.190000000000000e+00, -1.924775575631563e-01, -1.881160695768367e+00,  3.543074324967938e-01,  2.449586820417049e-01,  7.245726367582346e-01,  2.035446185737137e-01, -3.235753816882477e-01,  3.202620397517184e-01, -1.394249874398231e-01,  1.089550617733424e+00,  8.551919945468265e-01, -1.029074872350986e-01,  4.101993446993504e-02
  2.200000000000000e+00, -1.884214619251708e-01, -1.883135276493221e+00,  3.474817803623284e-01,  2.419328142794201e-01,  7.248864790283844e-01,  2.035630295724593e-01, -3.239706954653824e-01,  3.184868211830461e-01, -1.417553669438296e-01,  1.079337828291775e+00,  8.578856501950505e-01, -1.054128452899996e-01,  4.124214247437248e-02
  2.210000000000000e+00, -1.842197660947258e-01, -1.885165120749328e+00,  3.404969903039859e-01,  2.388701089029057e-01,  7.252254807265355e-01,  2.035697559879854e-01, -3.249870475554753e-01,  3.172370149976968e-01, -1.445281137551528e-01,  1.066964720038924e+00,  8.607800139698837e-01, -1.087181208253687e-01,  4.141322161898808e-02
  2.220000000000000e+00, -1.800561954306522e-01, -1.887083208142195e+00,  3.336632530689335e-01,  2.358974545246855e-01,  7.255798040121781e-01,  2.035620670989177e-01, -3.267680057110089e-01,  3.166361266362598e-01, -1.477698274593665e-01,  1.052464586040323e+00,  8.638527959825025e-01, -1.126130428402141e-01,  4.152258838352126e-02
  2.230000000000000e+00, -1.760917306832948e-01, -1.888724249394525e+00,  3.272384276379808e-01,  2.331125964234416e-01,  7.259402875142704e-01,  2.035387105511664e-01, -3.293845656168340e-01,  3.167852802911327e-01, -1.514614022105364e-01,  1.035933516820719e+00,  8.670587695561935e-01, -1.168050560780727e-01,  4.155987284075197e-02
  2.240000000000000e+00, -1.724423501887420e-01, -1.889959165394866e+00,  3.213955304795493e-01,  2.305749091170116e-01,  7.262995383414891e-01,  2.034999203962581e-01, -3.328121709173869e-01,  3.177339873544922e-01, -1.555327853172934e-01,  1.017537507275900e+00,  8.703203132670655e-01, -1.209367015257177e-01,  4.151651523115132e-02
