Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Right.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.SubTalarEversion.Pos[0]
  2.710000000000000e+00,  3.779555753285231e-01,  8.205620892510912e-02,  1.205167341002495e-01,  3.021731132956264e-01, -9.194947015169776e-02,  1.614638826180256e-01
  2.720000000000000e+00,  3.708705780929537e-01,  8.702762887856319e-02,  1.352791047579587e-01,  2.606789607277785e-01, -8.918285549347006e-02,  1.459951435813155e-01
  2.730000000000000e+00,  3.645168520615765e-01,  9.099024395399757e-02,  1.488442225334539e-01,  2.268054928002788e-01, -8.644313155376741e-02,  1.322126202872260e-01
  2.740000000000000e+00,  3.592557694631054e-01,  9.366425413928647e-02,  1.600956727945371e-01,  2.011982001214757e-01, -8.391188978929871e-02,  1.219986704840522e-01
  2.750000000000000e+00,  3.552969411454199e-01,  9.485015531784224e-02,  1.680787616579045e-01,  1.841212096349468e-01, -8.158898572551196e-02,  1.168399461886132e-01
  2.760000000000000e+00,  3.527281301985495e-01,  9.441403307388008e-02,  1.721586029100840e-01,  1.754577560549439e-01, -7.923003870252672e-02,  1.175336831420348e-01
  2.770000000000000e+00,  3.515010747745065e-01,  9.224880403870506e-02,  1.720954298077365e-01,  1.747120917278050e-01, -7.634921622738407e-02,  1.240636082017480e-01
  2.780000000000000e+00,  3.514683795985357e-01,  8.827369943720531e-02,  1.680514934866799e-01,  1.810370179342508e-01, -7.229120266287843e-02,  1.356357754947341e-01
  2.790000000000000e+00,  3.523988688560095e-01,  8.244411972363652e-02,  1.605192400109004e-01,  1.932921465893614e-01, -6.636471574799416e-02,  1.508657862168877e-01
  2.800000000000000e+00,  3.539692678750468e-01,  7.476309767266809e-02,  1.501892513180239e-01,  2.101404189086293e-01, -5.801778514693189e-02,  1.680795740111662e-01
  2.810000000000000e+00,  3.558186471678991e-01,  6.531696485532645e-02,  1.377869758044694e-01,  2.301888536446479e-01, -4.702418555981256e-02,  1.856641363191255e-01
  2.820000000000000e+00,  3.575442697583923e-01,  5.427868159598837e-02,  1.239537943071986e-01,  2.521342714947463e-01, -3.362448256151161e-02,  2.023605841272186e-01
  2.830000000000000e+00,  3.587270225579097e-01,  4.190787095141379e-02,  1.092384725142895e-01,  2.748766565465321e-01, -1.853175983159147e-02,  2.174251053507006e-01
  2.840000000000000e+00,  3.589576794882904e-01,  2.853618663199908e-02,  9.417012331054972e-02,  2.975435001607806e-01, -2.791437267607680e-03,  2.306500562642626e-01
  2.850000000000001e+00,  3.578756587412544e-01,  1.454132885780246e-02,  7.929572396595777e-02,  3.194306637902490e-01,  1.241818240994743e-02,  2.422910696037989e-01
  2.860000000000000e+00,  3.552159952315123e-01,  3.091655552975858e-04,  6.514332034791016e-02,  3.399365685448751e-01,  2.597200384430332e-02,  2.529028403109925e-01
  2.870000000000000e+00,  3.508454413561023e-01, -1.380814382711670e-02,  5.217015381680755e-02,  3.585506707453524e-01,  3.695219921075864e-02,  2.630877996218725e-01
  2.880000000000000e+00,  3.447636334382009e-01, -2.752589052556953e-02,  4.073368733112247e-02,  3.748774980374154e-01,  4.474800810602714e-02,  2.732600740828879e-01
  2.890000000000000e+00,  3.370612510078621e-01, -4.064311961071021e-02,  3.107924771731116e-02,  3.886464539965451e-01,  4.908075299702284e-02,  2.835473143640793e-01
  2.900000000000000e+00,  3.278535497308571e-01, -5.303676611914865e-02,  2.333254169458318e-02,  3.996933891486006e-01,  4.996971548661670e-02,  2.938448176954635e-01
  2.910000000000000e+00,  3.172224689134450e-01, -6.463776113023467e-02,  1.749200861720213e-02,  4.079358811038320e-01,  4.767111570853162e-02,  3.039327269827704e-01
  2.920000000000000e+00,  3.051921022270200e-01, -7.540107751882030e-02,  1.342682823114196e-02,  4.133600744473734e-01,  4.260858143072319e-02,  3.135647756506394e-01
  2.930000000000000e+00,  2.917411412209011e-01, -8.528071999319087e-02,  1.089304159601610e-02,  4.160181201641198e-01,  3.530222408935618e-02,  3.225049837772406e-01
  2.940000000000000e+00,  2.768411473442055e-01, -9.421485123468343e-02,  9.571005086522952e-03,  4.160329746768189e-01,  2.630319249737685e-02,  3.305348817129963e-01
  2.950000000000000e+00,  2.605017422445928e-01, -1.021246835826290e-01,  9.110667267896123e-03,  4.136035580037719e-01,  1.614214982887143e-02,  3.374563343350673e-01
  2.960000000000000e+00,  2.428007884494165e-01, -1.089290194389987e-01,  9.167921511874073e-03,  4.089936909350907e-01,  5.297675424112589e-03,  3.431079957984570e-01
  2.970000000000000e+00,  2.238882565944995e-01, -1.145661484848468e-01,  9.430985296348738e-03,  4.025026635592686e-01, -5.819967319638338e-03,  3.473944309027490e-01
  2.980000000000000e+00,  2.039668907720280e-01, -1.190098605162491e-01,  9.643594066652566e-03,  3.944342589459495e-01, -1.687984591642500e-02,  3.503055025092346e-01
  2.990000000000000e+00,  1.832595541478449e-01, -1.222754794725043e-01,  9.620949316900728e-03,  3.850737531614390e-01, -2.763748501447206e-02,  3.519121865102255e-01
  3.000000000000000e+00,  1.619771792048185e-01, -1.244195397133567e-01,  9.249577032130887e-03,  3.746724205460574e-01, -3.793306984282505e-02,  3.523472816849212e-01
  3.010000000000000e+00,  1.402985701411791e-01, -1.255354365424011e-01,  8.471510499368054e-03,  3.634405181794210e-01, -4.768042160153154e-02,  3.517848595867866e-01
  3.020000000000000e+00,  1.183642010578954e-01, -1.257453189253239e-01,  7.261766101845808e-03,  3.515486953766191e-01, -5.685114777661546e-02,  3.504253542652638e-01
  3.030000000000000e+00,  9.627843399631437e-02, -1.251893726223499e-01,  5.606894991220805e-03,  3.391346212905026e-01, -6.545860522574930e-02,  3.484869841695964e-01
  3.040000000000000e+00,  7.411197853165415e-02, -1.240135084080831e-01,  3.488240553525417e-03,  3.263115641347133e-01, -7.354529999339042e-02,  3.461991526719989e-01
  3.050000000000000e+00,  5.190626147335572e-02, -1.223555703203425e-01,  8.769300140575499e-04,  3.131766115343413e-01, -8.117465346973272e-02,  3.437903460495456e-01
  3.060000000000000e+00,  2.968922573179101e-02, -1.203322323133813e-01, -2.253905682612273e-03,  2.998173490262619e-01, -8.842502379745654e-02,  3.414688228064518e-01
  3.070000000000000e+00,  7.496724681235059e-03, -1.180311991711898e-01, -5.910723215167313e-03,  2.863164795603467e-01, -9.538345181290929e-02,  3.394079857222672e-01
  3.080000000000000e+00, -1.461797765615079e-02, -1.155107513619462e-01, -1.007071639679278e-02,  2.727553153612363e-01, -1.021386428434085e-01,  3.377464418173943e-01
  3.090000000000000e+00, -3.658866104248223e-02, -1.128034819645434e-01, -1.468332841928238e-02,  2.592197195058996e-01, -1.087760288216950e-01,  3.365914959473448e-01
  3.100000000000000e+00, -5.834352670146901e-02, -1.099215354116381e-01, -1.967608134418017e-02,  2.458100260834102e-01, -1.153772541734074e-01,  3.360131886167256e-01
  3.110000000000000e+00, -7.980840811225225e-02, -1.068649309457474e-01, -2.495981026125484e-02,  2.326506644564397e-01, -1.220207301287001e-01,  3.360334828784153e-01
