Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos
  2.780000000000000e+00, -4.518912006194097e-01, -1.007116650730004e-01,  2.108736575829424e-02,  2.665605795215485e-01, -2.786024882909303e-01,  1.834327453881330e-01
  2.790000000000000e+00, -4.559438602951834e-01, -9.072043561060927e-02,  1.933770890445913e-02,  2.837834324080719e-01, -2.687817026637903e-01,  1.631572853917478e-01
  2.800000000000000e+00, -4.586581030116470e-01, -7.970990905277509e-02,  1.790690007262202e-02,  3.029384149172449e-01, -2.556202050403381e-01,  1.420162872919795e-01
  2.810000000000000e+00, -4.599614981070113e-01, -6.789345850611817e-02,  1.664612962903849e-02,  3.242645321842559e-01, -2.387998239235328e-01,  1.202117386479765e-01
  2.820000000000000e+00, -4.597417409534816e-01, -5.553225181512000e-02,  1.541298685245159e-02,  3.480571833502289e-01, -2.180628946951421e-01,  9.794137031203771e-02
  2.830000000000000e+00, -4.578440393691438e-01, -4.291934539348796e-02,  1.409309295609293e-02,  3.746607218738602e-01, -1.932566750704934e-01,  7.538503445285120e-02
  2.840000000000000e+00, -4.540667827814344e-01, -3.035021216070199e-02,  1.260962021689084e-02,  4.044489609553066e-01, -1.643877064024407e-01,  5.271799913743768e-02
  2.850000000000001e+00, -4.481483016586705e-01, -1.808765379026145e-02,  1.092379071038406e-02,  4.377956484844385e-01, -1.316840299573327e-01,  3.015654161864115e-02
  2.860000000000000e+00, -4.397606904520858e-01, -6.328935053161677e-03,  9.032289011834701e-03,  4.750349478366758e-01, -9.566044566494077e-02,  8.018578269064720e-03
  2.870000000000000e+00, -4.285365547234160e-01,  4.815823122756191e-03,  6.955416586103457e-03,  5.164081879306082e-01, -5.717481550141712e-02, -1.321861030008009e-02
